"Себорея, витилиго, нейродермит, псориаз и прочие.",От псориаза можно умереть? Пиздец страшно то как жить
в это говно только такие говноеды как и играли,Блядь
С модами играл или на сухую?,В ваниллу
На четвёртый. Потому что с 3 героями плохие воспоминания.,"Это тебя у нас в компьютерном клубе в жопу выебали, за то что чужие сейвы затер?"
"Нагибатор Player'ов, артуров и демонов нашелся, пописал тебе в ухо, проверяй",+ с адскими пингами.
Что это?,Тургор?
а 18.,жихза
а 18.,"Уебок, я не настолько старый. Семнадцать с половиной."
Лол. Какая удачная сборка.,"Слався Советский Союз мировой, весь мир покоробим..."
Лол. Какая удачная сборка.,"Слався Советский Союз мировой, весь мир покоробим..."
КЕРОПОИРУКш.ь мЕНЯВ,КОПИРЙУЙ УКАЖДОГО не САОПмрвеШЬ НЕА СЕОАИРУКШЬ КАЖРДОГЬ
У СТАНКОВ ЕСТЬ ГЛАЗА,"ЧУВАК, ГДЕ МОИ ПАЛЬЦЫ?"
У СТАНКОВ ЕСТЬ ГЛАЗА,ПОСЛЕДНИЙ ПЯТИПАЛЬЦЕВЫЙ В ЦЕХУ
